event_index,time,event_type,price_at_crossover,sma_at_crossover,price_vs_sma_pct,sma_slope,candle_body,volatility,reverted,candles_to_reversion,max_adverse_move,max_favorable_move,max_adverse_move_pct,max_favorable_move_pct,event_type_bullish
22740,2025-05-05 00:45:00,bullish,3247.275,3246.0742999999998,0.03698929503863558,0.9973999999997432,4.923999999999978,1.771855247389648,True,28.0,-0.499000000000251,23.91399999999976,-0.015366730566405709,0.7364328552401554,1
22768,2025-05-05 03:05:00,bearish,3266.277,3266.5757,-0.009144132187104255,2.1282999999998538,4.13799999999992,1.9308853458491004,True,21.0,0.0,-12.233000000000175,0.0,-0.3745242672314741,0
22789,2025-05-05 04:50:00,bullish,3257.373,3256.81325,0.017187046263702547,-2.916450000000168,2.3980000000001382,1.046031795966966,True,1.0,-0.8730000000000473,0.0,-0.02680073789523175,0.0,1
22790,2025-05-05 04:55:00,bearish,3256.5,3256.6741,-0.0053459448091591494,-2.28774999999996,0.8519999999998618,0.9039609052335612,True,2.0,2.8910000000000764,-0.0729999999998654,0.08877629356671507,-0.0022416705051394254,0
22792,2025-05-05 05:05:00,bullish,3259.391,3256.4402,0.09061428488691646,-1.0811499999999796,2.925000000000182,1.6421550834891327,True,8.0,-4.355000000000018,1.2669999999998254,-0.13361391744654194,0.038872292400630226,1
22800,2025-05-05 05:45:00,bearish,3255.036,3257.45685,-0.0743171778315336,0.6555499999999483,2.981999999999971,2.063206077513757,True,1.0,3.6469999999999345,0.0,0.1120417715810189,0.0,0
22801,2025-05-05 05:50:00,bullish,3258.683,3257.5385499999998,0.0351323547652332,0.6354999999998654,3.6720000000000255,2.0705500038145748,True,5.0,-1.074999999999818,1.0320000000001528,-0.032988787187947344,0.031669235700439495,1
22806,2025-05-05 06:15:00,bearish,3257.687,3258.0295,-0.010512489220868015,0.49095000000033906,2.0340000000001055,1.0551555896263627,True,1.0,1.4030000000002474,0.0,0.04306736650882197,0.0,0
22807,2025-05-05 06:20:00,bullish,3259.09,3258.1878,0.027690239341022434,0.5770999999999731,1.361000000000331,0.9484083078050309,False,,0.0,22.41300000000001,0.0,0.6877073047998064,1
22869,2025-05-05 11:30:00,bearish,3312.953,3313.8089,-0.025828284787333983,3.330500000000029,1.2350000000001273,1.63546605619793,True,6.0,3.5300000000002,-0.706000000000131,0.10655146632023454,-0.021310293264049655,0
